"states","time"
"1",1,0
"2",3,0.0305864451915346
"3",2,0.302316334995245
"4",3,0.355852761084668
"5",1,0.544068011306527
"6",2,0.73360116028638
"7",1,0.96282286190839
"8",2,1.10660381274871
"9",1,1.18040198500791
"10",2,1.52820381374384
"11",1,2.55730381269749
"12",2,2.91233500094382
"13",3,3.28739680723516
"14",2,3.39557675924712
"15",1,3.52422657446565
"16",3,3.60315989742305
"17",1,3.61866970376361
"18",3,3.7217531366296
"19",2,3.75673943150213
"20",1,4.10032867893933
"21",2,4.31247317321835
"22",3,4.35703959778188
"23",2,4.41910549562395
"24",1,4.9266513501202
"25",2,4.93669913613345
"26",1,5.14036867182809
"27",2,5.22525827956493
"28",1,5.35439063764583
"29",2,5.48734928183198
"30",3,5.68462561263743
"31",1,5.71463519991852
"32",2,5.978289811862
"33",1,6.13691421134999
"34",3,6.15225119938219
"35",2,6.20777341174171
"36",1,6.97278037393199
"37",3,7.23639130060749
"38",2,7.40268435994416
"39",1,7.83723535681932
"40",3,7.8432514838084
"41",2,8.07188964290754
"42",3,8.22011442236164
"43",2,8.24662915350964
"44",3,8.30193812068578
"45",2,8.31490680057582
"46",3,9.27340283095388
"47",2,9.3345324823854
"48",1,10.1922550916473
"49",3,10.5669430166144
"50",2,10.5960349497305
"51",3,10.6473376300105
"52",2,10.8216054216153
"53",1,10.9611357436641
"54",2,11.0839732159058
"55",3,12.0931472181982
"56",2,12.3353588500196
"57",3,12.3669873100378
"58",2,12.79572268439
"59",3,13.129661205723
"60",2,13.2405957357027
"61",1,13.4912009729073
"62",2,13.6002757833107
"63",1,14.0077166091208
"64",3,14.0087487612783
"65",2,14.0678062125308
"66",3,14.0912595012464
"67",2,14.413032198211
"68",1,14.5803293656817
"69",2,14.6983116505593
"70",1,14.8169116788935
"71",2,14.8785746649549
"72",1,15.1480078251195
"73",2,15.2655596569973
"74",1,15.6855084248469
"75",2,15.9128190241639
"76",1,16.2379019257964
"77",3,16.6086726096152
"78",2,16.7165390995028
"79",1,16.79022853581
"80",2,16.8521558590396
"81",3,17.2806589062488
"82",2,17.3065491144974
"83",3,18.4612584526659
"84",2,18.5753604959141
"85",1,18.637325109998
"86",2,18.765146241491
"87",1,19.7271096966417
"88",2,19.834941139269
"89",1,20.1547752144386
"90",2,20.1763550388266
"91",1,20.8075995734322
"92",3,21.3552882002148
"93",2,21.828146964422
"94",1,22.3364653765186
"95",2,22.4402262154929
"96",1,22.5548751181743
"97",3,22.9013383510823
"98",2,23.0610005896646
"99",3,23.4620457159866
"100",1,23.8831263042185
"101",2,24.2950454970741
"102",1,24.8669001289353
"103",2,24.9433287784167
"104",1,25.2243714355108
"105",2,25.5204357599444
"106",1,26.2351377766261
"107",3,26.2944121314091
"108",1,26.4985457993922
"109",3,26.6009308908125
"110",1,26.6156582476561
"111",3,26.6744575050926
"112",2,26.7563671778489
"113",1,26.758662639525
"114",2,27.3081133662075
"115",1,27.4692374132211
"116",2,27.5914309108268
"117",1,27.7679820037085
"118",3,28.1085210704363
"119",1,28.2229616121508
"120",3,28.4206869933873
"121",2,28.5246274647229
"122",3,29.1017092749402
"123",1,29.3203053689953
"124",2,29.3333406937886
"125",1,29.6333906415962
"126",2,29.8787646152878
"127",3,30.3478755754287
"128",2,30.4779633329058
"129",3,30.5246970214689
"130",2,30.6683441254324
"131",1,30.722436968482
"132",3,30.8871885473067
"133",2,30.9913687756002
"134",1,31.3689700930952
"135",2,31.5173848212105
"136",1,31.8809721044683
"137",2,31.8932383705569
"138",1,32.3913552064877
"139",2,32.4567206539176
"140",1,33.7046066941026
"141",2,34.0162258268493
"142",1,34.1920646449244
"143",2,34.2211057508058
"144",1,34.3083062498542
"145",3,34.510264570113
"146",2,34.5681136383076
"147",1,34.6873518181244
"148",2,34.7456139544236
"149",1,34.9352748248536
"150",3,34.9851797698574
"151",1,35.0624280732161
"152",3,35.2465996990948
"153",2,35.5663830686882
"154",1,36.1084468553154
"155",2,36.2065555469444
"156",3,36.5967732465206
"157",2,36.9897565167794
"158",1,37.6598117580824
"159",3,37.7629630357214
"160",2,37.7987790967892
"161",3,38.430416178293
"162",1,38.6663347679279
"163",3,38.6988428973756
"164",2,38.8026721072467
"165",3,39.3113290872509
"166",2,39.3382946066642
"167",1,39.5168527446305
"168",2,39.5273058441202
"169",1,39.8660437891925
"170",2,40.0068982422784
"171",1,40.1600243521355
"172",3,40.1628950718602
"173",2,40.2123787453131
"174",1,40.2501112726716
"175",2,40.2691276613528
"176",1,40.4695862647982
"177",3,40.5250408730064
"178",2,40.7325660266321
"179",1,41.1656841236296
"180",3,41.4717177831245
"181",2,41.4919224092148
"182",1,41.8237974575598
"183",2,41.8776855719618
"184",3,42.0009167142555
"185",2,42.0766332426318
"186",1,43.0443934310949
"187",2,43.3466179824119
"188",1,43.722662684768
"189",2,43.7332144450904
"190",1,44.1815599446482
"191",3,44.6207764913485
"192",2,44.6996929963942
"193",3,45.3401838943253
"194",1,45.3484414335236
"195",3,45.4736715117986
"196",2,45.5150385873377
"197",3,45.6527787006445
"198",1,45.6584176308926
"199",3,45.8197677867627
"200",2,45.9785770124661
"201",3,46.6394262957237
"202",2,46.6445122640893
"203",1,46.8232911192194
"204",2,46.8664537604513
"205",1,46.9832654606733
"206",3,47.4949461735687
"207",2,47.5404621311542
"208",1,47.9258126821234
"209",3,47.9356891248862
"210",2,48.2682925084114
"211",1,48.6958165036744
"212",3,48.7508359797743
"213",1,48.9952574772273
"214",3,48.9977570200473
"215",2,49.1756040520774
"216",1,49.2875234269725
"217",2,49.3305712968997
"218",1,49.7940057104198
"219",2,49.8494504402601
"220",1,49.8495328243566
"221",3,50.0042224522114
"222",2,50.4251317889034
"223",3,50.4330179892228
"224",1,50.7101198633415
"225",3,50.8764544810692
"226",2,50.9169851767157
"227",1,50.9477939940781
"228",3,51.1668981937484
"229",2,51.2015323188347
"230",1,51.7311534416843
"231",2,51.8131130005498
"232",3,52.552854797813
"233",1,52.5726164525942
"234",2,52.7629938740279
"235",1,52.8235759550388
"236",3,52.9259460757109
"237",2,52.9664851825307
"238",1,53.2018901710486
"239",2,53.3180897571234
"240",1,53.3592186309485
"241",3,53.7005554978709
"242",1,53.7776170075845
"243",2,53.9810622164149
"244",1,54.0786964646175
"245",2,54.0995463871216
"246",1,54.7209711449761
"247",3,55.3273141572512
"248",2,55.3836493619978
"249",1,56.0481505721857
"250",2,56.113826386589
"251",1,56.4242648125676
"252",2,56.7968985114332
"253",1,56.8112168574791
"254",2,57.1349194822348
"255",1,57.4221871515716
"256",3,57.5266835514436
"257",1,58.0549460749271
"258",3,58.2119872038119
"259",2,58.2270903017504
"260",3,58.595478022298
"261",1,58.6464862308766
"262",3,58.8011140694565
"263",2,58.8406905655641
"264",1,58.9277394314188
"265",2,58.9978974123935
"266",3,59.3779599082174
"267",2,59.5441067577596
"268",1,59.7310647894358
"269",3,59.8860310765955
"270",1,60.2623929323518
"271",2,60.3285806348122
"272",1,61.3049442629416
"273",3,61.4797311688549
"274",2,61.6235573439308
"275",3,62.2481184944891
"276",1,62.3365690061737
"277",3,62.7385924026145
"278",2,62.7513331246071
"279",1,63.7849246017655
"280",2,63.7871007485026
"281",1,64.1962821933873
"282",2,64.280019036584
"283",3,64.3059814828124
"284",1,64.3534226654954
"285",3,64.4702084477296
"286",1,64.5789140654704
"287",3,64.8626466228153
"288",2,64.9446224363999
"289",3,65.104179996393
"290",1,65.1511770084978
"291",2,65.1854995600731
"292",1,65.6172267131416
"293",3,65.6479570474073
"294",2,65.8530417886358
"295",1,66.2718348699207
"296",3,66.3314630978016
"297",2,66.3698174432659
"298",1,66.851154512313
"299",3,66.8757288506162
"300",2,66.8843903925044
"301",3,67.3724105573965
"302",2,67.5106294638172
"303",1,67.6411364682645
"304",2,67.9492775244694
"305",1,68.7470651373211
"306",2,68.7486698217168
"307",1,69.121770422672
"308",2,69.1248109861036
"309",3,69.1592938232926
"310",2,69.3395595553961
"311",1,69.5642365900498
"312",2,69.7535175770581
"313",3,70.1374328018191
"314",2,70.3983942460573
"315",1,70.4315262634146
"316",2,70.5957287994052
"317",3,70.7246296770709
"318",2,70.7780197529892
"319",1,71.1506015902014
"320",2,71.3010715035816
"321",3,71.3542588425999
"322",2,71.6916279271331
"323",3,71.9457091963936
"324",2,72.1826488621099
"325",1,72.345018583332
"326",2,72.5606017319668
"327",3,73.0321193646822
"328",2,73.0897493010569
"329",1,73.2451261784598
"330",3,73.2948654012816
"331",1,73.7515881604366
"332",3,73.8376788046372
"333",1,73.881988040048
"334",2,74.0027602611737
"335",1,74.1847096468483
"336",2,74.4892513615601
"337",3,74.7218418771923
"338",2,74.8660451559292
